solution	objective	N_ref	target_oxygen_pct	evaluated_oxygen_pct_vivo	evaluated_oxygen_pct_vitro	function_name	vivo_value	vitro_value	vivo_minus_vitro	vivo_to_vitro_ratio
tsne_vi_seed366_C01Sc01_vt_seed10	18.8522859133708	44	0	0	0	ms_rate	0.115068262143504	0.010336027827559	0.104732234315945	11.1327353276562
tsne_vi_seed366_C01Sc01_vt_seed10	18.8522859133708	44	0	0	0	proliferation_rate	0.0647132074673826	0.8990101290862	-0.834296921618817	0.0719827345362175
tsne_vi_seed366_C01Sc01_vt_seed10	18.8522859133708	44	0	0	0	death_rate	0.0513477916983572	0.005	0.0463477916983572	10.2695583396714
tsne_vi_seed366_C01Sc01_vt_seed10	18.8522859133708	44	0	0	0	buffer_death_rate	0.0896357345123381	0.548017395499504	-0.458381660987166	0.163563666497552
tsne_vi_seed366_C01Sc01_vt_seed10	18.8522859133708	44	0	0	0	misseg_nonviable_rate	0.0896357345123381	0.548017395499504	-0.458381660987166	0.163563666497552
tsne_vi_seed366_C01Sc01_vt_seed10	18.8522859133708	44	0	0	0	boundary_dropped_rate	0	0	0	NA
tsne_vi_seed366_C01Sc01_vt_seed10	18.8522859133708	44	0	0	0	net_growth_rate	0.0133654157690254	0.8940101290862	-0.880644713317175	0.014949960111399
tsne_vi_seed366_C01Sc01_vt_seed10	18.8522859133708	44	1	1	1	ms_rate	0.0759991767102816	0.010240681612828	0.0657584950974536	7.4213006109946
tsne_vi_seed366_C01Sc01_vt_seed10	18.8522859133708	44	1	1	1	proliferation_rate	0.217383061980151	0.997758053326133	-0.780374991345982	0.217871518305947
tsne_vi_seed366_C01Sc01_vt_seed10	18.8522859133708	44	1	1	1	death_rate	0.00188952162783728	0.00351545286088025	-0.00162593123304297	0.537490247377163
tsne_vi_seed366_C01Sc01_vt_seed10	18.8522859133708	44	1	1	1	buffer_death_rate	0.234574227491933	0.603532942120208	-0.368958714628275	0.38866847378351
tsne_vi_seed366_C01Sc01_vt_seed10	18.8522859133708	44	1	1	1	misseg_nonviable_rate	0.234574227491933	0.603532942120208	-0.368958714628275	0.38866847378351
tsne_vi_seed366_C01Sc01_vt_seed10	18.8522859133708	44	1	1	1	boundary_dropped_rate	0	0	0	NA
tsne_vi_seed366_C01Sc01_vt_seed10	18.8522859133708	44	1	1	1	net_growth_rate	0.215493540352314	0.994242600465253	-0.778749060112939	0.216741407229457
tsne_vi_seed366_C01Sc01_vt_seed10	18.8522859133708	44	5	5	5	ms_rate	0.00641939766941902	0.0086978941724935	-0.00227849650307448	0.738040443136217
tsne_vi_seed366_C01Sc01_vt_seed10	18.8522859133708	44	5	5	5	proliferation_rate	0.238175401876973	1.28138865143727	-1.0432132495603	0.185872882212452
tsne_vi_seed366_C01Sc01_vt_seed10	18.8522859133708	44	5	5	5	death_rate	5.93786692560373e-05	0.000523857785978845	-0.000464479116722808	0.113348834063975
tsne_vi_seed366_C01Sc01_vt_seed10	18.8522859133708	44	5	5	5	buffer_death_rate	0.0299726923178321	0.675064496727637	-0.645091804409805	0.0443997461918442
tsne_vi_seed366_C01Sc01_vt_seed10	18.8522859133708	44	5	5	5	misseg_nonviable_rate	0.0299726923178321	0.675064496727637	-0.645091804409805	0.0443997461918442
tsne_vi_seed366_C01Sc01_vt_seed10	18.8522859133708	44	5	5	5	boundary_dropped_rate	0	0	0	NA
tsne_vi_seed366_C01Sc01_vt_seed10	18.8522859133708	44	5	5	5	net_growth_rate	0.238116023207717	1.28086479365129	-1.04274877044357	0.185902543647041
tsne_vi_seed366_C01Sc01_vt_seed10	18.8522859133708	44	20.5	5	5	ms_rate	0.00641939766941902	0.0086978941724935	-0.00227849650307448	0.738040443136217
tsne_vi_seed366_C01Sc01_vt_seed10	18.8522859133708	44	20.5	5	5	proliferation_rate	0.238175401876973	1.28138865143727	-1.0432132495603	0.185872882212452
