seed	role	cluster	objective_total	objective_delta_from_seed10	growth_component	karyotype_component	flow_component	growth_rmse	growth_correlation	mean_karyotype_negative_log_score	mean_flow_negative_log_score
10	global_best	vt_C02	3.85253526260594	0	0.170596025411363	-3.09622174155515	-0.926909546462153	0.204020389518706	0.779709669883373	3.11099339040176	0.926909546462153
132	same_cluster_near_best	vt_C02	3.85325699409698	0.000721731491039712	0.1723012904235	-3.09410839835568	-0.9314498861648	0.203672666674269	0.780108283079082	3.10889335493387	0.9314498861648
157	other_cluster_best	vt_C01	4.27116416929482	0.41862890668888	-0.376573787228378	-3.10500065681559	-0.789589725250855	0.352434857960061	0.658797187702003	3.11239823245579	0.789589725250855
