segment_id	parent_segment_id	cohort	lineage_id	lineage_group	lineage_label	scenario_id	lineage_terminal_key	passage_index	lineage_passage_index	oxygen_pct	duration_days	passage_duration	endpoint_day	initial_cells	final_cells	selected_day	closest_day_diagnostic	closest_live_cells_diagnostic	target_live_cells	passage_id	predicted_initial_cells	predicted_final_cells	observed_initial_cells	observed_final_cells	predicted_live_cells	passage_recorded	reseed_mode	available_cells	required_cells	supply_ratio	boundary_scale	cell_number_before	cell_number_after	predicted_growth	predicted_growth_rate	predicted_mean_kary_N	observed_growth	observed_mean_kary_N	observed_n_kary	observed_n_flow	cumulative_time	loglik
2N-C-A1	NA	2N	C	control	C	2N-C	2N-C-A12	1	1	20.5	3	3	3	614919	7782898	3	2	5062366.04114933	7782898	SUM-159_NLS_2N_C_A1_seed	614919	14526974.4582546	614919	7782898	14526974.4582546	TRUE	downsample_to_observed_inoculum	14526974.4582546	401065	36.2209977391559	0.0276082952546327	14526974.4582546	401065	1.05409065194344	1.05409065194344	46.3733199634659	0.846064496523974	NA	0	200	3	0.150734023720152
2N-C-A2	2N-C-A1	2N	C	control	C	2N-C	2N-C-A12	2	2	20.5	2	2	2	401065	4009244	2	2	3303586.3786027	4009244	SUM-159_NLS_2N_C_A2_seed	401065	3303586.3786027	401065	4009244	3303586.3786027	TRUE	downsample_to_observed_inoculum	3303586.3786027	749542	4.40747333518695	0.226887362429745	3303586.3786027	749541.999999998	1.05432021489811	1.05432021489811	46.3996015350083	1.15111723245741	NA	0	0	5	0.558731731210883
2N-C-A3	2N-C-A2	2N	C	control	C	2N-C	2N-C-A12	3	3	20.5	1	1	1	749542	6146386	1	1	2151519.29516326	6146386	SUM-159_NLS_2N_C_A3_seed	749541.999999998	2151519.29516326	749542	6146386	2151519.29516326	TRUE	downsample_to_observed_inoculum	2151519.29516326	398961	5.39280605162724	0.185432220336991	2151519.29516326	398961	1.05446716714521	1.05446716714521	46.4155796708377	2.10415719246389	NA	0	0	6	-12.5875962597214
2N-C-A4	2N-C-A3	2N	C	control	C	2N-C	2N-C-A12	4	4	20.5	3	3	3	398961	5884151	3	2	3288255.75723257	5884151	SUM-159_NLS_2N_C_A4_seed	398961	9441772.35177701	398961	5884151	9441772.35177701	TRUE	downsample_to_observed_inoculum	9441772.35177701	807037	11.699305424382	0.085475159740333	9441772.35177701	807037	1.05467844096471	1.05467844096471	46.4769223166718	0.897051358818264	NA	0	0	9	0.372493989690736
2N-C-A5	2N-C-A4	2N	C	control	C	2N-C	2N-C-A12	5	5	20.5	2	2	2	807037	7320131	2	2	6656218.76228477	7320131	SUM-159_NLS_2N_C_A5_seed	807037	6656218.76228477	807037	7320131	6656218.76228477	TRUE	downsample_to_observed_inoculum	6656218.76228477	352684	18.8730386473012	0.0529856383324367	6656218.76228477	352684	1.05496866642451	1.05496866642451	46.5309854776233	1.10250699346418	NA	0	0	11	0.644286993741103
2N-C-A6	2N-C-A5	2N	C	control	C	2N-C	2N-C-A12	6	6	20.5	3	3	3	352684	4501460	3	2	2910349.95931513	4501460	SUM-159_NLS_2N_C_A6_seed	352684	8362074.67545077	352684	4501460	8362074.67545077	TRUE	downsample_to_observed_inoculum	8362074.67545077	692047	12.0831022682719	0.0827602032820514	8362074.67545077	692047	1.05529645677655	1.05529645677655	46.6365553234853	0.848861531900473	NA	0	0	14	0.158670140200281
2N-C-A7	2N-C-A6	2N	C	control	C	2N-C	2N-C-A12	7	7	20.5	2	2	2	692047	6053832	2	2	5715742.72529056	6053832	SUM-159_NLS_2N_C_A7_seed	692047	5715742.72529056	692047	6053832	5715742.72529056	TRUE	downsample_to_observed_inoculum	5715742.72529056	1127468	5.06953875878567	0.197256604117479	5715742.72529056	1127468	1.05566282803955	1.05566282803955	46.7265616716768	1.08439643328122	NA	0	0	16	0.661546280086733
2N-C-A8	2N-C-A7	2N	C	control	C	2N-C	2N-C-A12	8	8	20.5	3	3	3	1127468	10859596	3	2	9318065.17532434	10859596	SUM-159_NLS_2N_C_A8_seed	1127468	26794627.1376963	1127468	10859596	26794627.1376963	TRUE	downsample_to_observed_inoculum	26794627.1376963	839992	31.8986694369664	0.0313492699742871	26794627.1376963	839991.999999999	1.0560756589547	1.0560756589547	46.8978157540131	0.755024900819988	NA	0	0	19	-0.419131520081322
2N-C-A9	2N-C-A8	2N	C	control	C	2N-C	2N-C-A12	9	9	20.5	2	2	2	839992	7082437	2	2	6950018.95205281	7082437	SUM-159_NLS_2N_C_A9_seed	839991.999999999	6950018.95205281	839992	7082437	6950018.95205281	TRUE	downsample_to_observed_inoculum	6950018.95205281	797221	8.71780717273229	0.114707744755793	6950018.95205281	797221	1.05655364874336	1.05655364874336	47.0408895980323	1.06599048425925	NA	0	0	21	0.670409733400611
2N-C-A10	2N-C-A9	2N	C	control	C	2N-C	2N-C-A12	10	10	20.5	3	3	3	797221	10161940	3	2	6601795.39139785	10161940	SUM-159_NLS_2N_C_A10_seed	797221	19004343.4493228	797221	10161940	19004343.4493228	TRUE	downsample_to_observed_inoculum	19004343.4493228	372317	51.0434480545417	0.0195911529905163	19004343.4493228	372317	1.05709696814318	1.05709696814318	47.3085253015418	0.848424239199109	NA	0	0	24	0.14749188623424
2N-C-A11	2N-C-A10	2N	C	control	C	2N-C	2N-C-A12	11	11	20.5	2	2	2	372317	4017658	2	2	3087734.02552597	4017658	SUM-159_NLS_2N_C_A11_seed	372317	3087734.02552597	372317	4017658	3087734.02552597	TRUE	downsample_to_observed_inoculum	3087734.02552597	441031	7.00117231107557	0.142833222147388	3087734.02552597	441031	1.05772356693414	1.05772356693414	47.528968330053	1.18935439142098	NA	0	0	26	0.462981209329114
2N-C-A12	2N-C-A11	2N	C	control	C	2N-C	2N-C-A12	12	12	20.5	3	3	3	441031	6546749	3	2	3661757.07482757	6546749	SUM-159_NLS_2N_C_A12_seed	441031	10556048.2932718	441031	6546749	10556048.2932718	TRUE	terminal_no_reseed	10556048.2932718	NA	NA	1	10556048.2932718	10556048.2932718	1.05844636827044	1.05844636827044	47.9360865888569	0.899202900591717	NA	0	200	29	0.36633062303649
2N-O1-A1	NA	2N	O1	deprived	O1	2N-O1	2N-O1-A23	1	1	2	3	3	3	763799	6742373	3	3	3014445.79865098	6742373	SUM-159_NLS_2N_O1_A1_seed	763799	3014445.79865098	763799	6742373	3014445.79865098	TRUE	downsample_to_observed_inoculum	3014445.79865098	404570	7.4509869704896	0.134210407823904	3014445.79865098	404570	0.457622204002843	0.457622204002843	46.4487357383066	0.725954184515258	NA	0	0	3	-0.19495375284941
2N-O1-A2	2N-O1-A1	2N	O1	deprived	O1	2N-O1	2N-O1-A23	2	2	1	5	5	5	404570	6311159	5	5	2849218.3599682	6311159	SUM-159_NLS_2N_O1_A2_seed	404570	2849218.3599682	404570	6311159	2849218.3599682	TRUE	downsample_to_observed_inoculum	2849218.3599682	396157	7.19214442750777	0.139040589365156	2849218.3599682	396157	0.390395040261548	0.390395040261548	46.6034116521827	0.559363522840898	NA	0	0	8	0.327921372101915
2N-O1-A3	2N-O1-A2	2N	O1	deprived	O1	2N-O1	2N-O1-A23	3	3	0.5	5	5	5	396157	7094357	5	5	2390100.09546926	7094357	SUM-159_NLS_2N_O1_A3_seed	396157	2390100.09546926	396157	7094357	2390100.09546926	TRUE	downsample_to_observed_inoculum	2390100.09546926	546906	4.370221016901	0.228821379086478	2390100.09546926	546906	0.35945598553369	0.35945598553369	46.746186226833	0.564954728131389	NA	0	0	13	0.163310790859255
2N-O1-A4	2N-O1-A3	2N	O1	deprived	O1	2N-O1	2N-O1-A23	4	4	0.3	5	5	5	546906	7027045	5	5	3163602.44431282	7027045	SUM-159_NLS_2N_O1_A4_seed	546906	3163602.44431282	546906	7027045	3163602.44431282	TRUE	downsample_to_observed_inoculum	3163602.44431282	733415	4.31352296355108	0.23182906604414	3163602.44431282	733415	0.351037946012374	0.351037946012374	46.8989647251194	0.496979906893512	NA	0	0	18	0.415179637588845
2N-O1-A5	2N-O1-A4	2N	O1	deprived	O1	2N-O1	2N-O1-A23	5	5	0.2	5	5	5	733415	11809671	5	5	4186262.42831638	11809671	SUM-159_NLS_2N_O1_A5_seed	733415	4186262.42831638	733415	11809671	4186262.42831638	TRUE	downsample_to_observed_inoculum	4186262.42831638	480997	8.70330257427048	0.11489891239175	4186262.42831638	480997	0.348370376966438	0.348370376966438	47.0715409823019	0.541080883402784	NA	0	0	23	0.224590001615282
2N-O1-A6	2N-O1-A5	2N	O1	deprived	O1	2N-O1	2N-O1-A23	6	6	0.1	5	5	5	480997	8016385	5	5	2723936.00253755	8016385	SUM-159_NLS_2N_O1_A6_seed	480997	2723936.00253755	480997	8016385	2723936.00253755	TRUE	downsample_to_observed_inoculum	2723936.00253755	365305	7.45660749931577	0.134109244732509	2723936.00253755	365305	0.346794427996879	0.346794427996879	47.2667720880251	0.550021801500845	NA	0	200	28	0.174482285278179
2N-O1-A7	2N-O1-A6	2N	O1	deprived	O1	2N-O1	2N-O1-A23	7	7	0	5	5	5	365305	6872790	5	5	2065908.51928787	6872790	SUM-159_NLS_2N_O1_A7_seed	365305	2065908.51928787	365305	6872790	2065908.51928787	TRUE	downsample_to_observed_inoculum	2065908.51928787	273453	7.55489433024275	0.132364525073095	2065908.51928787	273453	0.346518549693426	0.346518549693426	47.4908544955154	0.563777709266853	48.4210526315789	19	0	33	0.103482633559271
2N-O1-A8	2N-O1-A7	2N	O1	deprived	O1	2N-O1	2N-O1-A23	8	8	0	4	4	4	273453	4268740	4	4	1095753.8991978	4268740	SUM-159_NLS_2N_O1_A8_seed	273453	1095753.8991978	273453	4268740	1095753.8991978	TRUE	downsample_to_observed_inoculum	1095753.8991978	433335	2.5286531187137	0.395467449686689	1095753.8991978	433335	0.347017034276716	0.347017034276716	47.6957945943498	0.664335909437413	NA	0	0	37	-0.540184814887162
2N-O1-A9	2N-O1-A8	2N	O1	deprived	O1	2N-O1	2N-O1-A23	9	9	0	7	7	7	433335	8047333	7	7	4941098.03061324	8047333	SUM-159_NLS_2N_O1_A9_seed	433335	4941098.03061324	433335	8047333	4941098.03061324	TRUE	downsample_to_observed_inoculum	4941098.03061324	745247	6.63014816646459	0.150826191948171	4941098.03061324	745247	0.347690251136917	0.347690251136917	48.1167186381629	0.435214147229313	NA	0	0	44	0.579299715666762
