seed	cohort	lineage_id	scenario_id	passage_id	passage_index	passage_duration	endpoint_day	selected_day	closest_day_diagnostic	predicted_initial_cells	predicted_final_cells	observed_initial_cells	observed_final_cells	predicted_growth	observed_growth	passage_recorded	available_cells	required_cells	supply_ratio	reseed_mode	boundary_scale	cell_number_before	cell_number_after	cumulative_time
10	2N	O1	2N-O1	SUM-159_NLS_2N_O1_A10_seed	10	5	5	5	5	745247	4256682.52611137	745247	8643308	0.348505935817186	0.50185981787835	TRUE	4256682.52611137	491262	8.66479093866688	downsample_to_observed_inoculum	0.115409593500689	4256682.52611137	491262	49
10	2N	O1	2N-O1	SUM-159_NLS_2N_O1_A11_seed	11	5	5	5	5	491262	2816683.12858241	491262	5817161	0.349267537153423	0.502224726321462	TRUE	2816683.12858241	414398	6.79704807596177	downsample_to_observed_inoculum	0.14712269044213	2816683.12858241	414398	54
10	2N	O1	2N-O1	SUM-159_NLS_2N_O1_A12_seed	12	7	7	7	7	414398	4812063.88191612	414398	8287951	0.350293498267331	0.432618047777567	TRUE	4812063.88191612	639420	7.52566995388966	downsample_to_observed_inoculum	0.132878535217074	4812063.88191612	639420	61
10	2N	O1	2N-O1	SUM-159_NLS_2N_O1_A13_seed	13	6	6	6	6	639420	5270418.93384447	639420	7866870	0.351550602833856	0.42734132525493	TRUE	5270418.93384447	485692	10.8513603968039	downsample_to_observed_inoculum	0.0921543441036698	5270418.93384447	485692	67
10	2N	O1	2N-O1	SUM-159_NLS_2N_O1_A14_seed	14	7	7	7	7	485692	5747387.10406142	485692	5816047	0.352989419383501	0.359204449551509	TRUE	5747387.10406142	722968	7.94971161111061	downsample_to_observed_inoculum	0.125790726622383	5747387.10406142	722968	74
10	2N	O1	2N-O1	SUM-159_NLS_2N_O1_A15_seed	15	4	4	4	4	722968	2983243.47166403	722968	4910388	0.354350359941401	0.47893581972953	TRUE	2983243.47166403	451159	6.61239933518788	downsample_to_observed_inoculum	0.151231035711727	2983243.47166403	451159	78
10	2N	O1	2N-O1	SUM-159_NLS_2N_O1_A16_seed	16	9	9	9	8	451159	11129782.7977349	451159	8159844	0.35617334464335	0.313471183522771	TRUE	11129782.7977349	394346	28.2233946781123	downsample_to_observed_inoculum	0.0354315989059784	11129782.7977349	394346	87
10	2N	O1	2N-O1	SUM-159_NLS_2N_O1_A17_seed	17	7	7	7	7	394346	4856733.73941501	394346	7737649	0.358698960622311	0.437413363577022	TRUE	4856733.73941501	578151	8.4004589448345	downsample_to_observed_inoculum	0.119041115082755	4856733.73941501	578150.999999999	94
10	2N	O1	2N-O1	SUM-159_NLS_2N_O1_A18_seed	18	5	5	5	5	578150.999999999	3512008.50271123	578151	10139372	0.360821659113801	0.571675739310715	TRUE	3512008.50271123	1129568	3.1091607612036	downsample_to_observed_inoculum	0.321630200817563	3512008.50271123	1129568	99
10	2N	O1	2N-O1	SUM-159_NLS_2N_O1_A19_seed	19	5	5	5	5	1129568	6928070.87851478	1129568	13953612	0.362749228639325	0.514139394650451	TRUE	6928070.87851478	588177	11.7788877812542	downsample_to_observed_inoculum	0.084897659148385	6928070.87851478	588177	104
10	2N	O1	2N-O1	SUM-159_NLS_2N_O1_A20_seed	20	5	5	5	5	588177	3645145.58233467	588177	5379370	0.364824732183958	0.426979996229704	TRUE	3645145.58233467	585949	6.22092636446973	downsample_to_observed_inoculum	0.160747763502139	3645145.58233467	585949	109
10	2N	O1	2N-O1	SUM-159_NLS_2N_O1_A21_seed	21	5	5	5	5	585949	3672139.67859793	585949	6572434	0.367059406955577	0.474305889804198	TRUE	3672139.67859793	502401	7.30918067161078	downsample_to_observed_inoculum	0.136814240190292	3672139.67859793	502401	114
10	2N	O1	2N-O1	SUM-159_NLS_2N_O1_A22_seed	22	3	3	3	3	502401	1519780.92581341	502401	4186306	0.368974290033572	0.706725131849525	TRUE	1519780.92581341	694004	2.18987343850094	downsample_to_observed_inoculum	0.456647394510863	1519780.92581341	694004.000000001	117
10	2N	O1	2N-O1	SUM-159_NLS_2N_O1_A23_seed	23	5	5	5	5	694004.000000001	4436901.03800005	694004	7355557	0.37104674462847	0.450464700528303	TRUE	4436901.03800005	NA	NA	terminal_no_reseed	1	4436901.03800005	4436901.03800005	122
10	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A1_seed	1	3	3	3	3	580562	2291275.07359714	580562	6323079	0.457622380792028	0.795988317378729	TRUE	2291275.07359714	366708	6.24822767323631	downsample_to_observed_inoculum	0.160045384434918	2291275.07359714	366708	3
10	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A2_seed	2	5	5	5	5	366708	2582572.61788122	366708	6273296	0.390395085755781	0.582583674486393	TRUE	2582572.61788122	402467	6.41685558786489	downsample_to_observed_inoculum	0.155839567574363	2582572.61788122	402467	8
10	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A3_seed	3	5	5	5	5	402467	2428169.60371673	402467	7647573	0.359455979416109	0.576460809243452	TRUE	2428169.60371673	523768	4.63596402169801	downsample_to_observed_inoculum	0.215704866413896	2428169.60371673	523768	13
10	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A4_seed	4	5	5	5	5	523768	3029759.97643017	523768	7184807	0.351037968295702	0.510656518381784	TRUE	3029759.97643017	809842	3.74117417524674	downsample_to_observed_inoculum	0.267295761479495	3029759.97643017	809842	18
10	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A5_seed	5	5	5	5	5	809842	4622498.75458768	809842	11919753	0.348370305385239	0.517179620389222	TRUE	4622498.75458768	480296	9.62427077174843	downsample_to_observed_inoculum	0.103903976074265	4622498.75458768	480296	23
10	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A6_seed	6	5	5	5	5	480296	2719966.17767365	480296	7765369	0.346794428805216	0.544215937493151	TRUE	2719966.17767365	420697	6.46538049397463	downsample_to_observed_inoculum	0.154669937976882	2719966.17767365	420697	28
10	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A7_seed	7	5	5	5	5	420697	2379166.15768647	420697	7241601	0.346518498353028	0.547099402696607	TRUE	2379166.15768647	291683	8.15668433774497	downsample_to_observed_inoculum	0.12259883533466	2379166.15768647	291683.000000001	33
10	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A8_seed	8	4	4	4	4	291683.000000001	1168803.29419447	291683	7415711	0.347017020688123	0.792805650404954	TRUE	1168803.29419447	385434	3.03243433167409	downsample_to_observed_inoculum	0.329768064407825	1168803.29419447	385434	37
10	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A9_seed	9	7	7	7	7	385434	4394909.54523585	385434	5507477	0.347690322356924	0.399949129792322	TRUE	4394909.54523585	675067	6.5103308934311	downsample_to_observed_inoculum	0.153602023671177	4394909.54523585	675067.000000001	44
10	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A10_seed	10	5	5	5	5	675067.000000001	3855831.49868828	675067	6544585	0.348506002219352	0.459209606978143	TRUE	3855831.49868828	520225	7.41185352239566	downsample_to_observed_inoculum	0.134919018161705	3855831.49868828	520225	49
10	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A11_seed	11	5	5	5	5	520225	2982744.00129069	520225	5685713	0.349267510264251	0.477939108571687	TRUE	2982744.00129069	364269	8.18830040791472	downsample_to_observed_inoculum	0.122125465625737	2982744.00129069	364269	54
