pair,rank,seed,optimizer_name,initial,final,abs_move
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,2,seed86,delta__log10_mu_hp,1.50893402641973,1.50893402641973,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,2,seed86,delta__log10_p_misseg,1.67557286941202,1.67557286941202,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,2,seed86,delta__log10_k_o_mis,1.33139593453867,1.33139593453867,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,2,seed86,delta__buffer_smax,-0.005219492414379,-0.005219492414379,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,2,seed86,delta__log10_buffer_beta,-1.55518405233534,-1.55518405233534,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,2,seed86,delta__log10_buffer_n_exp,-1.13016190617906,-1.13016190617906,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,2,seed86,delta__n_O,1.37320692760003,1.37320692760003,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,2,seed86,delta__log10_lam_max,-1.0028032418014,-1.0028032418014,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,2,seed86,delta__log10_p_mis_base,0.852653302570762,0.656091832957177,0.196561469613585
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,2,seed86,delta__log10_p_wgd,0.342609431840466,0.125387530216877,0.21722190162358898
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,2,seed86,delta__gamma_mu,1.31652771655383,1.31652771655383,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,3,seed180,log10_O2_crit,-0.153560015107474,-0.165391812931085,0.011831797823611018
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,3,seed180,log10_alpha_o2,0.101371914305943,0.101371914305943,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,3,seed180,gamma_growth,1.87124074243996,1.87124074243996,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,3,seed180,log10_mu_hp,-1.54656298245412,-1.54656298245412,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,3,seed180,log10_p_misseg,-1.13881643036999,-1.13881643036999,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,3,seed180,log10_k_o_mis,-3.28161315880086,-3.28161315880086,0.0
