pair,invivo_seed,invitro_seed,primary_cluster_id,subcluster_id,curve_class,final_interpretation_class,monotonicity_reliability,min_spectral_gap,fraction_gap_below_0p005,fraction_gap_below_0p01,separate_MAP_objective
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,138,10,vi_C03,vi_C03_Sc01,complex_nonmonotone,unreliable_small_spectral_gap,unreliable_small_gap,0.0005739190902913,0.502487562189055,0.621890547263682,15.1972704353619
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,25,10,vi_C02,vi_C02_Sc01,inverted_u_shaped,inverted_u_shaped,caution_small_gap,0.0003072468613725,0.223880597014925,0.54228855721393,14.1193277940156
fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,290,10,vi_C01,vi_C01_Sc02,complex_nonmonotone,unreliable_small_spectral_gap,unreliable_small_gap,0.0004159950108086,0.611940298507463,0.701492537313433,14.9903319373581
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,311,10,vi_C03,vi_C03_Sc02,complex_nonmonotone,complex_nonmonotone,caution_small_gap,0.001015201523828,0.0746268656716418,0.0895522388059701,14.6048156636453
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,322,10,vi_C02,vi_C02_Sc02,complex_nonmonotone,complex_nonmonotone,caution_small_gap,0.000399389991829,0.0895522388059701,0.218905472636816,14.172441641488
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,366,10,vi_C01,vi_C01_Sc01,inverted_u_shaped,unreliable_small_spectral_gap,unreliable_small_gap,0.0003675746869267,0.388059701492537,0.592039800995025,14.1340195166425
