seed_id,seed_number,n_o2,o2_min,o2_max,curve_class,final_interpretation_class,sign_sequence,n_sign_changes,step_epsilon,slope_epsilon,flat_range_threshold,reverse_fraction_tolerance,ploidy_range,net_ploidy_change,max_positive_step,max_negative_step,positive_step_total,negative_step_total,fraction_positive_steps,fraction_negative_steps,fraction_zero_steps,low_amplitude_curve,terminal_plateau,terminal_plateau_for_class,classification_rule_version,min_ploidy,o2_at_min_ploidy,max_ploidy,o2_at_max_ploidy,dominant_growth_rate_min,dominant_growth_rate_max,min_spectral_gap,median_spectral_gap,fraction_o2_gap_below_0p005,fraction_o2_gap_below_0p01,monotonicity_reliability,n_crossings_ploidy_1p5,first_o2_crossing_ploidy_1p5,all_o2_crossings_ploidy_1p5,crossing_status_ploidy_1p5,n_crossings_ploidy_2,first_o2_crossing_ploidy_2,all_o2_crossings_ploidy_2,crossing_status_ploidy_2,mode_label_o2_0,dominant_mean_ploidy_o2_0,spectral_gap_o2_0,mode_label_o2_0p1,dominant_mean_ploidy_o2_0p1,spectral_gap_o2_0p1,mode_label_o2_0p5,dominant_mean_ploidy_o2_0p5,spectral_gap_o2_0p5,mode_label_o2_1,dominant_mean_ploidy_o2_1,spectral_gap_o2_1,mode_label_o2_2,dominant_mean_ploidy_o2_2,spectral_gap_o2_2,mode_label_o2_5,dominant_mean_ploidy_o2_5,spectral_gap_o2_5,objective,objective_source,objective_total,objective_data,objective_burden,objective_ploidy,runtime,convergence_status
seed114,114,201,0,5,complex_nonmonotone,complex_nonmonotone,"1,-1,1",2,7.8961148369467e-05,7.8961148369467e-05,0.05,0.05,0.78961148369467,0.0820389710929499,0.0360230754020301,0.0413652165882903,0.87158587386183,0.78953689705321,0.735,0.255,0.01,False,False,False,shape_first_v3,2.39028656326596,2.1,3.17989804696063,0.8,-0.1435082817029,0.128782751102814,0.0213624342098504,0.0440319023113851,0.0,0.0,reliable,0,,,always_above,0,,,always_above,mode1,2.45988622173929,0.0307398462181605,mode1,2.47236027803345,0.0309039036972546,mode1,2.89256177536003,0.0298071272579929,mode1,3.00492934967304,0.0231191258416414,mode1,2.3915316403121,0.0596713412133065,mode1,2.54192519283224,0.0390132117484029,74362.0868053154,raw_likelihood,,14.1657083893815,7.80454313375972,5.22988397542317,,early_stop_reltol_or_steptol
seed115,115,201,0,5,complex_nonmonotone,complex_nonmonotone,"1,-1,1",2,1.7544718892744e-05,1.7544718892744e-05,0.05,0.05,0.17544718892744,0.17544718892744,0.0057614354804198,0.0026267921108602,0.2101992230192,0.0347520340917602,0.895,0.105,0.0,False,False,False,shape_first_v3,2.30417199442828,0.0,2.47961918335572,5.0,-0.0248458830523545,0.0991687635248795,0.0326483526309115,0.0431844732184899,0.0,0.0,reliable,0,,,always_above,0,,,always_above,mode1,2.30417199442828,0.0326483526309115,mode1,2.30646666728836,0.0327009760305004,mode1,2.37410188669535,0.0366312439486232,mode1,2.34378831477358,0.0480992286577501,mode1,2.3950123009672,0.0472656273461494,mode1,2.47961918335572,0.0413994781248758,74793.8987573598,raw_likelihood,,14.3485555933602,7.89378369480894,5.26043193934766,,early_stop_reltol_or_steptol
seed116,116,201,0,5,complex_nonmonotone,complex_nonmonotone,"1,-1,1",2,0.0001773364638617,0.0001773364638617,0.05,0.05,1.77336463861739,0.34114167591399,0.0802523435785298,0.12244234718845,1.939067755707,1.59783899577087,0.73,0.25,0.02,False,False,False,shape_first_v3,1.55992013233851,0.0,3.3332847709559,0.975,-0.108306949724334,0.150313453194556,0.0001160310232763,0.0101395869850296,0.17910447761194,0.492537313432836,caution_small_gap,0,,,always_above,2,0.4487409413,0.4487409;1.4152386,crossed,mode2,1.55992013233851,0.0001160310232763,mode2,1.56336383995693,0.000119306894988,mode1,2.14914195710757,0.0031646570892586,mode1,3.31913815411723,0.0101395869850296,mode2,1.74425109093774,0.0412572268471135,mode2,1.9010618082525,0.0043288991417351,75069.9234774179,raw_likelihood,,15.6273194541578,8.65900029934795,5.36413836024402,,early_stop_reltol_or_steptol
seed117,117,201,0,5,inverted_u_shaped,unreliable_small_spectral_gap,"1,-1",1,0.000235802013744,0.000235802013744,0.05,0.05,2.35802013744068,-0.00314956173043,0.63651091693462,2.35506532065664,2.35211612497837,2.35727577536646,0.12,0.015,0.865,False,True,True,shape_first_v3,1.00014299545278,1.375,3.35816313289346,0.65,-0.177788651561275,0.164675280768979,2.76433836096657e-06,0.002976747825069,0.651741293532338,0.781094527363184,unreliable_small_gap,2,0.1689907613,0.1689908;0.6697252,crossed,2,0.3357609843,0.3357610;0.6644175,crossed,mode2,1.0058581503614,0.0002213508680249,mode2,1.00755732484446,0.0002198365231608,mode1,2.72797690979907,0.003415541170249,mode2,1.00020079217134,0.0199392091239163,mode2,1.00020329211496,0.0079916491340977,mode2,1.00270858863097,0.0009291691587469,72966.0619859707,raw_likelihood,,15.1849999552281,8.27350832208093,5.46155212835202,,early_stop_reltol_or_steptol
seed118,118,201,0,5,inverted_u_shaped,inverted_u_shaped,"1,-1",1,2.3877741571823e-05,2.3877741571823e-05,0.05,0.05,0.23877741571823,0.0384677201230801,0.0099466805010601,0.00248798207316,0.23877741571823,0.20030969559515,0.22,0.78,0.0,False,False,False,shape_first_v3,1.85442043117497,0.0,2.0931978468932,1.1,-0.0964730629252947,0.199142657416463,0.0121891503950108,0.0335506886740203,0.0,0.0,reliable,0,,,always_above,2,0.5174759654,0.517476;2.248175,crossed,mode2,1.85442043117497,0.0447187234939723,mode2,1.86084424679608,0.044792764361976,mode2,1.99374558411829,0.0453048807048313,mode1,2.0915154163016,0.0451264398775744,mode1,2.02288382275339,0.0393504513180104,mode2,1.89288815129805,0.0121891503950108,74943.2636095504,raw_likelihood,,14.9619111542482,8.79306160345305,5.33423049954876,,early_stop_reltol_or_steptol
seed119,119,201,0,5,u_shaped,unreliable_small_spectral_gap,"-1,1",1,1e-06,1e-06,0.05,0.05,0.00074835417569,-8.63708555500775e-05,1.2775320670011e-05,2.91230922297991e-05,0.0006476382829299,0.00074507071526,0.515,0.295,0.19,True,False,False,shape_first_v3,1.0001743738925,2.2,1.00092272806819,0.55,-0.11258653168817,0.28887700958279,0.0019236962668547,0.0126996886384205,0.253731343283582,0.407960199004975,unreliable_small_gap,0,,,always_below,0,,,always_below,mode2,1.0009129487446,0.0126837629240347,mode2,1.00091300031738,0.0126859789542742,mode2,1.00092212254144,0.0133177448889378,mode2,1.00068269220191,0.0186631664865159,mode2,1.00017954318363,0.0220745675744233,mode2,1.00082657788905,0.0019236962668547,67081.7954862344,raw_likelihood,,13.5987264930425,7.89745744019688,4.71007623321033,,early_stop_reltol_or_steptol
seed120,120,201,0,5,complex_nonmonotone,complex_nonmonotone,"1,-1,1",2,0.0001539724323259,0.0001539724323259,0.05,0.05,1.53972432325944,0.0876836789690802,1.04744780136314,1.45132009954681,1.62646160324082,1.53945028943464,0.59,0.065,0.345,False,False,False,shape_first_v3,1.00008560702821,1.8,2.53980993028765,1.0,-0.121331469212343,0.21265653705645,0.0001114717229687,0.0093710557429859,0.0796019900497512,0.54228855721393,caution_small_gap,2,1.2664095742,1.266410;3.160872,crossed,2,1.2577967258,1.257797;3.172806,crossed,mode1,2.16980174450068,0.0377287472464999,mode1,2.17017049144511,0.0377420509502813,mode1,2.27181908659415,0.0406189625135781,mode1,2.53980993028765,0.0418152871069113,mode2,1.00009306670375,0.0137607887446742,mode1,2.25748542346976,0.0054899739223338,68794.6350390973,raw_likelihood,,13.6542262866259,8.1762554723775,4.87226961663024,,early_stop_reltol_or_steptol
seed121,121,201,0,5,complex_nonmonotone,complex_nonmonotone,"1,-1,1",2,6.5526997188613e-05,6.5526997188613e-05,0.05,0.05,0.65526997188613,0.53984425048419,0.04728412746667,0.01361007525938,0.80289310116662,0.26300513347302,0.795,0.2,0.005,False,False,False,shape_first_v3,2.04355648584612,0.0,2.69882645773225,0.6,-0.147292252868384,0.142624726515779,0.026559830587301,0.0323697515872776,0.0,0.0,reliable,0,,,always_above,0,,,always_above,mode1,2.04355648584612,0.030049201415501,mode1,2.08139359441945,0.0311081428167798,mode1,2.67044696545006,0.0299225829782962,mode1,2.52503368778705,0.0453530594237695,mode1,2.44795083920834,0.0408119334097224,mode1,2.58340073633031,0.026559830587301,72879.8706706858,raw_likelihood,,13.9487213400874,7.80909949424779,5.08740317751392,,early_stop_reltol_or_steptol
seed122,122,201,0,5,complex_nonmonotone,unreliable_small_spectral_gap,"1,-1,1",2,0.0005985496582871,0.0005985496582871,0.05,0.05,5.98549658287194,-1.99779763988372,1.32245473259819,5.93431299834119,3.98445600890649,5.98250721082706,0.665,0.115,0.22,False,False,False,shape_first_v3,1.00254693538806,2.275,6.98804351826,1.475,-0.064379993057901,0.14299117698303,9.76819508891058e-08,0.0069173435396131,0.487562189054726,0.522388059701492,unreliable_small_gap,2,2.2729043359,2.272904;2.959316,crossed,2,2.2707979421,2.270798;2.968768,crossed,mode1,4.79779460354963,8.10851053105466e-06,mode1,4.79790179911083,7.94374864800107e-06,mode1,4.88270818997097,1.2368880359076e-05,mode1,5.57065724397016,1.94791347728207e-06,mode1,6.97098831895165,0.0006178055341471,mode1,2.79999696366591,0.0162358893349001,73510.7489053935,raw_likelihood,,14.9480791780224,8.19872853572395,5.23550936623954,,early_stop_reltol_or_steptol
seed123,123,201,0,5,complex_nonmonotone,unreliable_small_spectral_gap,"1,-1,1",2,0.0002316890765797,0.0002316890765797,0.05,0.05,2.31689076579752,-0.43916232485439,0.15456455925093,2.0017956437427,1.8758101985597,2.31608972387004,0.77,0.1,0.13,False,False,False,shape_first_v3,1.06576878358043,1.175,3.38265954937795,0.45,-0.131132847539184,0.2058372255845,5.75178414324862e-06,0.0001178367512588,0.791044776119403,0.870646766169154,unreliable_small_gap,2,0.4984939609,0.498494;4.850164,crossed,2,0.1035116705,0.1035117;0.4922496,crossed,mode2,1.99174153716944,0.0080381656858657,mode2,1.99842965792659,0.008134517532501,mode2,1.37940869631931,0.0014746887473457,mode2,1.06620049642015,0.0063201531610026,mode2,1.07407319217404,0.0003158686296758,mode2,1.55257921231505,5.75178414324862e-06,74797.5632566125,raw_likelihood,,17.6702797050137,10.7191910196148,5.33816952211984,,early_stop_reltol_or_steptol
seed124,124,201,0,5,complex_nonmonotone,complex_nonmonotone,"1,-1,1",2,0.0004758381581592,0.0004758381581592,0.05,0.05,4.75838158159291,0.31577185056485,0.50185727198691,4.43367765997871,5.03294173226297,4.73306693054428,0.685,0.06,0.255,False,True,True,shape_first_v3,2.21171111505632,0.0,6.97009269664923,0.4,-0.254905813113954,0.115513913436297,1.88463274602979e-06,0.0369806423828614,0.0945273631840796,0.0945273631840796,caution_small_gap,0,,,always_above,0,,,always_above,mode1,2.21171111505632,0.0012980324776552,mode1,2.53157319352551,0.0026445008477785,mode1,2.33991806715128,0.027776017555644,mode1,2.27796753474487,0.067088359480242,mode1,2.43107873125719,0.043187251314341,mode1,2.52748296562117,0.0340191557355602,73099.55515632,raw_likelihood,,13.9374440757623,7.77480566723152,5.11381435741547,,early_stop_reltol_or_steptol
seed125,125,201,0,5,inverted_u_shaped,unreliable_small_spectral_gap,"1,-1",1,0.0001487676766821,0.0001487676766821,0.05,0.05,1.48767676682183,-1.08505439052128,0.0551657199825302,1.48587555999155,0.4020362561259,1.48742587813873,0.065,0.015,0.92,False,True,True,shape_first_v3,1.00003702775961,0.975,2.48771379458144,0.325,-0.157288018433438,0.20936429454141,0.0005736636877128,0.002550749454269,0.661691542288557,0.786069651741294,unreliable_small_gap,1,0.3416183801,0.3416184,crossed,1,0.3332058318,0.3332058,crossed,mode1,2.08567753845554,0.001140036368553,mode1,2.11314853822551,0.0014208316619461,mode2,1.0000966529288,0.0229183990953464,mode2,1.00003709828432,0.0188979741786962,mode2,1.00008088473028,0.005105489527239,mode2,1.00062314793426,0.0005736636877128,66234.0289509602,raw_likelihood,,13.7636786798932,8.23158002613958,4.72325728043638,,early_stop_reltol_or_steptol
seed126,126,201,0,5,complex_nonmonotone,complex_nonmonotone,"1,-1,1",2,4.0656156319193e-05,4.0656156319193e-05,0.05,0.05,0.40656156319193,0.40656156319193,0.0230099159241597,0.0056496484684198,0.55501644751213,0.14846550015193,0.75,0.245,0.005,False,False,False,shape_first_v3,2.13285923445001,0.0,2.53942079764194,5.0,-0.157654203869511,0.150800321975267,0.0234438494950537,0.0321457195151211,0.0,0.0,reliable,0,,,always_above,0,,,always_above,mode1,2.13285923445001,0.0282880731826606,mode1,2.15820287794246,0.0307337866682088,mode1,2.47088993675093,0.0383498061864,mode1,2.50132719161212,0.0237128983668236,mode1,2.38658766781738,0.0447448761773326,mode1,2.53942079764194,0.024159605931632,70178.2162954021,raw_likelihood,,13.7540614257756,7.76669312645263,4.85261889454295,,early_stop_reltol_or_steptol
seed127,127,201,0,5,inverted_u_shaped,unreliable_small_spectral_gap,"1,-1",1,0.0001375280870333,0.0001375280870333,0.05,0.05,1.37528087033358,-0.0289447459052499,0.0966860445823701,0.39258969976722,1.34633612442833,1.37077397530834,0.135,0.34,0.525,False,True,True,shape_first_v3,1.06186073937066,5.0,2.43714160970424,0.675,-0.170982067715813,0.148164248346425,0.0026488056522832,0.0083669648209852,0.298507462686567,0.562189054726368,unreliable_small_gap,2,0.1814854092,0.1814854;0.9155478,crossed,2,0.3369436183,0.3369436;0.8780012,crossed,mode2,1.09080548527591,0.003845681398319,mode2,1.2089524797201,0.0067388366065102,mode1,2.3126620038678,0.0319875343055,mode2,1.13799241329784,0.0105986378210978,mode2,1.06912728435917,0.0138729088843584,mode2,1.06186073937066,0.0026696258676749,76014.5343640356,raw_likelihood,,14.8198909264678,7.90376025932055,5.52123073971632,,early_stop_reltol_or_steptol
seed128,128,201,0,5,inverted_u_shaped,inverted_u_shaped,"1,-1",1,0.0002149803825141,0.0002149803825141,0.05,0.05,2.14980382514121,-0.22624451385995,0.12531601040863,2.12469127289406,1.92161391322026,2.14840138729925,0.17,0.045,0.785,False,True,True,shape_first_v3,1.00074706312933,2.05,3.15055088827054,0.9,-0.226359574907957,0.219882330406489,8.21611499393637e-06,0.0104459765452482,0.208955223880597,0.472636815920398,caution_small_gap,2,0.1993325444,0.1993325;0.9444135,crossed,2,0.3682184292,0.3682184;0.9385303,crossed,mode2,1.22878430504914,7.08400633420703e-05,mode2,1.27466267027418,0.0001035899730656,mode1,2.58773316995172,0.0147776918099465,mode2,1.00487400176565,0.0103448944124812,mode2,1.00074785999428,0.0219041772084683,mode2,1.00253979118919,0.0037747285889011,68889.5771331379,raw_likelihood,,13.747332792404,7.85933269870547,4.75060901738773,,early_stop_reltol_or_steptol
seed129,129,201,0,5,monotone_increasing,monotone_increasing,1,0,0.0002075689340255,0.0002075689340255,0.05,0.05,2.07568934025586,2.07568934025586,0.84650144388644,0.0,2.07493998284127,0.0,0.86,0.0,0.14,False,False,False,shape_first_v3,1.00106281054238,0.0,3.07675215079824,5.0,-0.175756507843311,0.280390267578961,0.0003596904188336,0.02308461048771,0.0597014925373134,0.253731343283582,caution_small_gap,1,0.8640996664,0.8640997,crossed,1,1.3757632529,1.375763,crossed,mode2,1.00106281054238,0.0073554895286888,mode2,1.00106287370768,0.007355078328409,mode2,1.00116991675761,0.0067187195040308,mode2,1.88849975130453,0.0068926099223492,mode1,2.31056715701978,0.0483204412229141,mode1,3.07675215079824,0.0083742160286123,73671.5519924168,raw_likelihood,,14.0818470994145,7.83069539622073,5.13061616365336,,early_stop_reltol_or_steptol
