pair,rank,seed,vivo_s44,vivo_s88,vitro_s44,vitro_s88,vivo_ratio_s88_s44,vitro_ratio_s88_s44,vivo_abs_gradient,vitro_abs_gradient
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,1,seed122,0.9516621461555154,0.9579967482823313,0.203695250225646,0.8366802890104067,1.0066563560948665,4.10751005771398,0.006334602126815914,0.6329850387847606
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,2,seed86,0.9516621461555154,0.9579967482823313,0.203695250225646,0.8366802890104067,1.0066563560948665,4.10751005771398,0.006334602126815914,0.6329850387847606
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,3,seed180,0.9516621461555154,0.9579967482823313,0.203695250225646,0.8366802890104067,1.0066563560948665,4.10751005771398,0.006334602126815914,0.6329850387847606
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,4,seed354,0.9516621461555154,0.9579967482823313,0.203695250225646,0.8366802890104067,1.0066563560948665,4.10751005771398,0.006334602126815914,0.6329850387847606
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,5,seed148,0.9521442382230283,0.9584093754752389,0.19998241258441038,0.8349572174044004,1.0065800295802905,4.17515323779772,0.006265137252210562,0.63497480481999
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,0.9516621461555154,0.9578949599391715,0.203695250225646,0.8309213136023947,1.006549397608001,4.079237550615104,0.006232813783656144,0.6272260633767488
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,7,seed268,0.9516621461555154,0.9579967482823313,0.203695250225646,0.8366802890104067,1.0066563560948665,4.10751005771398,0.006334602126815914,0.6329850387847606
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,8,seed451,0.9516621461555154,0.9579029874415217,0.203695250225646,0.8313814446646579,1.00655783285194,4.0814964695724845,0.006240841286006327,0.627686194439012
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,9,seed355,0.9516621461555154,0.9579967482823313,0.203695250225646,0.8366802890104067,1.0066563560948665,4.10751005771398,0.006334602126815914,0.6329850387847606
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,10,seed187,0.9516621461555154,0.9579967482823313,0.203695250225646,0.8366802890104067,1.0066563560948665,4.10751005771398,0.006334602126815914,0.6329850387847606
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,1,seed497,0.72799836443028,0.9136329234654352,0.203695250225646,0.8366802890104067,1.2549930990304214,4.10751005771398,0.18563455903515524,0.6329850387847606
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,2,seed389,0.72799836443028,0.9136329234654352,0.203695250225646,0.8366802890104067,1.2549930990304214,4.10751005771398,0.18563455903515524,0.6329850387847606
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,3,seed298,0.72799836443028,0.9136329234654352,0.203695250225646,0.8366802890104067,1.2549930990304214,4.10751005771398,0.18563455903515524,0.6329850387847606
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,4,seed26,0.72799836443028,0.9136329234654352,0.203695250225646,0.8366802890104067,1.2549930990304214,4.10751005771398,0.18563455903515524,0.6329850387847606
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,5,seed98,0.72799836443028,0.9136329234654352,0.203695250225646,0.8366802890104067,1.2549930990304214,4.10751005771398,0.18563455903515524,0.6329850387847606
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,6,seed291,0.72799836443028,0.9136329234654352,0.203695250225646,0.8366802890104067,1.2549930990304214,4.10751005771398,0.18563455903515524,0.6329850387847606
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,7,seed458,0.72799836443028,0.9136329234654352,0.203695250225646,0.8366802890104067,1.2549930990304214,4.10751005771398,0.18563455903515524,0.6329850387847606
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,8,seed285,0.72799836443028,0.9136329234654352,0.203695250225646,0.8366802890104067,1.2549930990304214,4.10751005771398,0.18563455903515524,0.6329850387847606
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,9,seed299,0.72799836443028,0.9136329234654352,0.203695250225646,0.8366802890104067,1.2549930990304214,4.10751005771398,0.18563455903515524,0.6329850387847606
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,10,seed375,0.72799836443028,0.9136329234654352,0.203695250225646,0.8366802890104067,1.2549930990304214,4.10751005771398,0.18563455903515524,0.6329850387847606
fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,1,seed155,0.948419042706982,0.9560208666262682,0.203695250225646,0.8366802890104067,1.0080152586325017,4.10751005771398,0.00760182391928621,0.6329850387847606
fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,2,seed28,0.948419042706982,0.9560208666262682,0.203695250225646,0.8366802890104067,1.0080152586325017,4.10751005771398,0.00760182391928621,0.6329850387847606
fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,3,seed211,0.948419042706982,0.9560208666262682,0.203695250225646,0.8366802890104067,1.0080152586325017,4.10751005771398,0.00760182391928621,0.6329850387847606
fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,4,seed176,0.948419042706982,0.9560208666262682,0.203695250225646,0.8366802890104067,1.0080152586325017,4.10751005771398,0.00760182391928621,0.6329850387847606
