pair,rank,seed,O2,N,vitro,vivo,ratio_vivo_vitro
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,4,seed354,0.5,44,0.01030583822594474,0.46033983637323994,44.66786944261784
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,4,seed354,0.5,88,0.01045688261606176,0.49300863947758095,47.14680823903677
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,4,seed354,1.0,44,0.010236108170619521,0.29606996537883784,28.924075482969304
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,4,seed354,1.0,88,0.010427182597931963,0.44887735181741967,43.04876677871222
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,4,seed354,2.0,44,0.009989303673545814,0.0676923618053747,6.776484529611516
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,4,seed354,2.0,88,0.010320146355202012,0.24307088930020457,23.55304672376873
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,4,seed354,5.0,44,0.008680735140878876,0.004032519766246832,0.4645366666305823
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,4,seed354,5.0,88,0.009697692306388955,0.02322074130301273,2.3944605138394244
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,5,seed148,0.0,44,0.01032902314510469,0.4926701787227918,47.697654637968995
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,5,seed148,0.0,88,0.010463921354120278,0.4988119698647351,47.66969790616046
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,5,seed148,0.1,44,0.01032772086407285,0.49248592736838076,47.68582864023723
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,5,seed148,0.1,88,0.010463365726554468,0.4987804371388355,47.66921563995463
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,5,seed148,0.5,44,0.010302736829503199,0.4608651862856228,44.732306950312136
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,5,seed148,0.5,88,0.01045269036875384,0.49306205672150355,47.170827732103376
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,5,seed148,1.0,44,0.010233676930373681,0.2980866281713905,29.128008456732264
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,5,seed148,1.0,88,0.010423025466608008,0.44925333506630394,43.10200876948501
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,5,seed148,2.0,44,0.009989171469533558,0.06870510546503909,6.8779583646737885
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,5,seed148,2.0,88,0.010316114231123852,0.2441084492190445,23.662829215536032
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,5,seed148,5.0,44,0.008690889490039783,0.004117337990262245,0.47375334768448396
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,5,seed148,5.0,88,0.00969433912412357,0.023419979554741326,2.415840755607839
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,0.0,44,0.010327552498181946,0.4926828325150592,47.70567204589768
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,0.0,88,0.010457871588149212,0.49876593097505856,47.69287199321291
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,0.1,44,0.010326250217150106,0.49249858116064815,47.69384537503204
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,0.1,88,0.010457290290494723,0.49873292030306426,47.69236642081108
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,0.5,44,0.010301266182580454,0.4608778400778902,44.73992147268646
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,0.5,88,0.01044612228910512,0.4927497597930597,47.17059078534602
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,1.0,44,0.010232206283450937,0.29809928196365787,29.13343160856607
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,1.0,88,0.010415094005031088,0.44712546981105883,42.93052656030484
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,2.0,44,0.009987700822610813,0.06871775925730648,6.880238052559474
