pair,rank,seed,n_dims,n_exact,max_abs_move,median_abs_move,all_exact
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,1,seed122,28,20,0.48339325186466997,0.0,False
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,2,seed86,28,24,0.21722190162358898,0.0,False
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,3,seed180,28,23,0.23315564872393013,0.0,False
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,4,seed354,28,24,0.28804474752183495,0.0,False
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,5,seed148,28,25,0.2919214662743891,0.0,False
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,28,25,0.3262172247154973,0.0,False
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,7,seed268,28,26,0.2975239227651428,0.0,False
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,8,seed451,28,24,0.2911295739262988,0.0,False
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,9,seed355,28,26,0.3134248810639254,0.0,False
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,10,seed187,28,26,0.3420982558330854,0.0,False
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,1,seed497,28,28,0.0,0.0,True
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,2,seed389,28,27,0.049849360241259966,0.0,False
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,3,seed298,28,28,0.0,0.0,True
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,4,seed26,28,28,0.0,0.0,True
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,5,seed98,28,27,0.0005816454770700141,0.0,False
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,6,seed291,28,28,0.0,0.0,True
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,7,seed458,28,28,0.0,0.0,True
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,8,seed285,28,28,0.0,0.0,True
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,9,seed299,28,28,0.0,0.0,True
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,10,seed375,28,28,0.0,0.0,True
fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,1,seed155,28,26,0.5086722804900758,0.0,False
fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,2,seed28,28,26,0.3860745062141726,0.0,False
fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,3,seed211,28,26,0.4068331375538184,0.0,False
fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,4,seed176,28,26,0.4404547031907653,0.0,False
fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,5,seed307,28,24,0.4576693368628137,0.0,False
fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,6,seed241,28,27,0.317083788161443,0.0,False
fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,7,seed303,28,26,0.4397222741814592,0.0,False
fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,8,seed130,28,26,0.4130909656369406,0.0,False
fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,9,seed405,28,26,0.4047393745177045,0.0,False
fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,10,seed357,28,26,0.46647010020308227,0.0,False
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,1,seed18,28,25,0.3548315496011866,0.0,False
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,2,seed402,28,27,0.35136321973822754,0.0,False
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,3,seed255,28,25,0.38232077199488473,0.0,False
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,4,seed43,28,27,0.3661114101369251,0.0,False
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,5,seed34,28,27,0.3582400204893047,0.0,False
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,6,seed155,28,27,0.3859809873726553,0.0,False
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,7,seed264,28,27,0.3989159246452268,0.0,False
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,8,seed432,28,27,0.290206197800434,0.0,False
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,9,seed200,28,27,0.28690195903513804,0.0,False
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,10,seed249,28,27,0.28446279614095205,0.0,False
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,1,seed54,28,26,0.47860956441067576,0.0,False
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,2,seed52,28,27,0.5433980317498948,0.0,False
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,3,seed80,28,23,0.42733668997736807,0.0,False
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,4,seed174,28,27,0.39803460524613304,0.0,False
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,5,seed336,28,27,0.389353565185921,0.0,False
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,6,seed132,28,27,0.38815575700904104,0.0,False
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,7,seed433,28,27,0.38769301561516506,0.0,False
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,8,seed211,28,27,0.375598036016609,0.0,False
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,9,seed438,28,26,0.35917726451824605,0.0,False
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,10,seed295,28,27,0.33020795123452706,0.0,False
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,1,seed472,28,26,0.2748151231296178,0.0,False
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,2,seed386,28,27,0.23476305964388683,0.0,False
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,3,seed494,28,26,0.2532293954861831,0.0,False
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,4,seed71,28,25,0.5543622538487201,0.0,False
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,5,seed178,28,27,0.19176582622028382,0.0,False
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,6,seed251,28,27,0.20696157064608092,0.0,False
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,7,seed53,28,26,0.1696285181294898,0.0,False
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,8,seed140,28,27,0.17623490997698102,0.0,False
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,9,seed276,28,26,0.16923911964566593,0.0,False
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,10,seed279,28,26,0.16064085328569094,0.0,False
