pair,seed,rank,parameter,split_enabled,center_name,delta_name,center_transformed,delta_transformed,vivo_transformed,vitro_transformed,center_natural,vivo_natural,vitro_natural,delta_interpretable,natural_difference_vivo_to_vitro,transformed_difference_vivo_to_vitro,log10_ratio_vivo_to_vitro,fold_change_vivo_to_vitro,ratio_vivo_to_vitro,logit_vivo,logit_vitro,logit_difference_vivo_to_vitro,odds_ratio_vivo_to_vitro,regularization_sigma,penalty_type,welsch_c,welsch_transition_delta,abs_delta_over_sigma,welsch_saturation_fraction,penalty_region,penalty_paid,joint_union_lower_transformed,joint_union_upper_transformed,joint_union_lower_bound,joint_union_upper_bound,feasible_at_solution,feasible_before_projection,projection_applied,projection_action,center_raw_transformed,delta_raw_transformed,vivo_raw_transformed,vitro_raw_transformed,center_raw_natural,vivo_raw_natural,vitro_raw_natural,delta_dynamic_lower_transformed,delta_dynamic_upper_transformed
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,1,O2_crit,True,log10_O2_crit,delta__log10_O2_crit,-0.174725329727572,-0.707839637125871,-0.528645148290508,0.179194488835363,0.668766746493947,0.296043037597807,1.51075656041509,-0.707839637125871,-1.21471352281729,-0.707839637125871,-0.707839637125871,0.195956810881871,0.195956810881871,,,,,0.65,welsch,0.4,0.26,1.08898405711672,0.999395911126375,saturating,0.07995167289011,-4.0,0.397940008672038,0.0001,2.5,True,True,False,none,-0.174725329727572,-0.707839637125871,-0.528645148290508,0.179194488835363,0.668766746493947,0.296043037597807,1.51075656041509,-1.14533067679922,1.14533067679922
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,1,mu_hp,True,log10_mu_hp,delta__log10_mu_hp,-1.54656298245412,1.50893402641973,-0.79209596924425,-2.30102999566398,0.0284077617875923,0.161400185956118,0.005,1.50893402641973,0.156400185956118,1.50893402641973,1.50893402641973,32.2800371912236,32.2800371912236,,,,,0.65,welsch,0.4,0.26,2.32143696372266,0.999999999999998,saturating,0.0799999999999998,-2.30102999566398,-0.522878745280338,0.005,0.3,True,True,False,none,-1.54656298245412,1.50893402641973,-0.79209596924425,-2.30102999566398,0.0284077617875923,0.161400185956118,0.005,-1.50893402641973,1.50893402641973
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,1,p_misseg,True,log10_p_misseg,delta__log10_p_misseg,-1.13881643036999,1.67557286941202,-0.301029995663981,-1.976602865076,0.072641293618232,0.5,0.0105535150770604,1.67557286941202,0.48944648492294,1.67557286941202,1.67557286941202,47.3775795409458,47.3775795409458,-1.11022302462516e-16,-4.54068669354326,4.54068669354326,93.7551590818917,0.65,welsch,0.4,0.26,2.57780441448003,1.0,saturating,0.08,-2.30102999566398,-0.301029995663981,0.005,0.5,True,True,False,none,-1.13881643036999,1.67557286941202,-0.301029995663981,-1.976602865076,0.072641293618232,0.5,0.0105535150770604,-1.67557286941202,1.67557286941202
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,1,k_o_mis,True,log10_k_o_mis,delta__log10_k_o_mis,-3.28161315880086,1.33139593453867,-2.61591519153153,-3.9473111260702,0.0005228617127511,0.0024215018683425,0.0001128986825222,1.33139593453867,0.0023086031858202,1.33139593453867,1.33139593453867,21.4484510735125,21.4484510735125,,,,,0.65,welsch,0.4,0.26,2.0483014377518,0.999999999995908,saturating,0.0799999999996727,-5.0,-1.69897000433602,1e-05,0.02,True,True,False,none,-3.28161315880086,1.33139593453867,-2.61591519153153,-3.9473111260702,0.0005228617127511,0.0024215018683425,0.0001128986825222,-3.16528630892969,3.16528630892969
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,1,buffer_smax,True,buffer_smax,delta__buffer_smax,0.997390253792811,-0.005219492414379,0.994780507585621,1.0,0.997390253792811,0.994780507585621,1.0,-0.0052194924143789,-0.0052194924143789,-0.0052194924143789,,0.994780507585621,0.994780507585621,,,,,0.65,welsch,0.4,0.26,0.0080299883298138,0.0004029232582188,near_quadratic,3.22338606575112e-05,0.0,1.0,0.0,1.0,True,True,False,none,0.997390253792811,-0.005219492414379,0.994780507585621,1.0,0.997390253792811,0.994780507585621,1.0,-0.0052194924143789,0.0052194924143789
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,1,buffer_beta,True,log10_buffer_beta,delta__log10_buffer_beta,-0.575886287278859,-1.55518405233534,-1.35347831344653,0.201705738888809,0.265530071689194,0.0443120341210791,1.59113027351929,-1.55518405233534,-1.54681823939821,-1.55518405233534,-1.55518405233534,0.0278494067132975,0.0278494067132975,,,,,0.65,welsch,0.4,0.26,2.39259084974667,1.0,saturating,0.08,-2.0,1.0,0.01,10.0,True,True,False,none,-0.575886287278859,-1.55518405233534,-1.35347831344653,0.201705738888809,0.265530071689194,0.0443120341210791,1.59113027351929,-2.84822742544228,2.84822742544228
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,1,buffer_n_exp,True,log10_buffer_n_exp,delta__log10_buffer_n_exp,-0.0657285004210214,-1.13016190617906,-0.630809453510549,0.499352452668507,0.859550702459219,0.233986362749007,3.15756611375965,-1.13016190617906,-2.92357975101064,-1.13016190617906,-1.13016190617906,0.0741033930309076,0.0741033930309076,,,,,0.65,welsch,0.4,0.26,1.73871062489086,0.999999993773593,saturating,0.0799999995018875,-1.0,1.0,0.1,10.0,True,True,False,none,-0.0657285004210214,-1.13016190617906,-0.630809453510549,0.499352452668507,0.859550702459219,0.233986362749007,3.15756611375965,-1.86854299915796,1.86854299915796
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,1,n_O,True,n_O,delta__n_O,2.55517829746501,1.37320692760003,3.24178176126502,1.86857483366499,2.55517829746501,3.24178176126502,1.86857483366499,1.37320692760003,1.37320692760003,1.37320692760003,,1.73489533459393,1.73489533459393,,,,,0.65,welsch,0.4,0.26,2.11262604246158,0.999999999999232,saturating,0.0799999999999386,0.0001,5.0,0.0001,5.0,True,True,False,none,2.55517829746501,1.37320692760003,3.24178176126502,1.86857483366499,2.55517829746501,3.24178176126502,1.86857483366499,-4.88964340506999,4.88964340506999
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,1,alpha_o2,True,log10_alpha_o2,delta__log10_alpha_o2,0.101371914305943,0.804803819939848,0.503773824275867,-0.301029995663981,1.26290858150935,3.18987617049993,0.5,0.804803819939848,2.68987617049993,0.804803819939848,0.804803819939848,6.37975234099986,6.37975234099986,,,,,0.65,welsch,0.4,0.26,1.23815972298438,0.999931006404232,saturating,0.0799944805123386,-0.301029995663981,0.602059991327962,0.5,4.0,True,True,False,none,0.101371914305943,0.804803819939848,0.503773824275867,-0.301029995663981,1.26290858150935,3.18987617049993,0.5,-0.804803819939848,0.804803819939848
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,1,gamma_growth,True,gamma_growth,delta__gamma_growth,1.87124074243996,0.74248148487991,2.24248148487991,1.5,1.87124074243996,2.24248148487991,1.5,0.74248148487991,0.74248148487991,0.74248148487991,,1.49498765658661,1.49498765658661,,,,,0.65,welsch,0.4,0.26,1.14227920750755,0.99971270792432,saturating,0.0799770166339456,1.5,4.5,1.5,4.5,True,True,False,none,1.87124074243996,0.74248148487991,2.24248148487991,1.5,1.87124074243996,2.24248148487991,1.5,-0.74248148487991,0.74248148487991
