pair,rank,seed,context,O2,N,p_mis
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,3,seed180,vivo,0.5,44,0.4581339555542646
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,3,seed180,vitro,0.5,44,0.010301422055625757
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,3,seed180,vivo,0.5,88,0.493384850557063
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,3,seed180,vitro,0.5,88,0.010463496109723308
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,3,seed180,vivo,1.0,44,0.2875988230499493
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,3,seed180,vitro,1.0,44,0.010228800209402082
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,3,seed180,vivo,1.0,88,0.4508187463306735
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,3,seed180,vitro,1.0,88,0.010435468740559428
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,3,seed180,vivo,2.0,44,0.06365123582641234
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,3,seed180,vitro,2.0,44,0.009972091009257803
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,3,seed180,vivo,2.0,88,0.24824591612339647
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,3,seed180,vitro,2.0,88,0.010334384663007993
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,3,seed180,vivo,5.0,44,0.003776642578664592
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,3,seed180,vitro,5.0,44,0.008619563364359501
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,3,seed180,vivo,5.0,88,0.02416369045503971
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,3,seed180,vitro,5.0,88,0.009744179488407905
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,4,seed354,vivo,0.0,44,0.49265300650987426
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,4,seed354,vitro,0.0,44,0.010332382031658581
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,4,seed354,vivo,0.0,88,0.49880564613177036
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,4,seed354,vitro,0.0,88,0.010468126944907305
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,4,seed354,vivo,0.1,44,0.4924656057322196
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,4,seed354,vitro,0.1,44,0.010331066962744289
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,4,seed354,vivo,0.1,88,0.49877385213104886
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,4,seed354,vitro,0.1,88,0.01046757065657363
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,4,seed354,vivo,0.5,44,0.46033983637323994
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,4,seed354,vitro,0.5,44,0.01030583822594474
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,4,seed354,vivo,0.5,88,0.49300863947758095
