pair,rank,seed,objective,objective_invivo,objective_invitro,objective_soft_coupling,soft_penalty_fraction_of_cap,local_attempted,local_accepted,deoptim_iterations,deoptim_stop_reason
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,1,seed18,19.4144872936097,14.6037302670932,3.85267475313488,0.958082273381634,0.8554306012336017,True,False,64.0,early_stop_reltol_or_steptol
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,2,seed402,19.4244061752049,14.6026099240239,3.86335021504086,0.958446036140083,0.8557553894107882,True,False,58.0,early_stop_reltol_or_steptol
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,3,seed255,19.4244829936728,14.6048450828839,3.86370475472341,0.955933156065474,0.8535117464870303,True,False,52.0,early_stop_reltol_or_steptol
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,4,seed43,19.4258497359334,14.6048179097866,3.86395044117986,0.957081384966943,0.8545369508633418,True,False,50.0,early_stop_reltol_or_steptol
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,5,seed34,19.4263535185484,14.6048133023022,3.86379001689673,0.957750199349392,0.8551341065619571,True,False,30.0,early_stop_reltol_or_steptol
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,6,seed155,19.4265068306356,14.6048300542115,3.8656558750829,0.956020901341247,0.8535900904832562,True,False,32.0,early_stop_reltol_or_steptol
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,7,seed264,19.4271697311804,14.604838333013,3.86650478801207,0.955826610155349,0.853416616210133,True,False,37.0,early_stop_reltol_or_steptol
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,8,seed432,19.4332192627959,14.6047523833702,3.85983347892173,0.968633400504053,0.8648512504500473,True,False,28.0,early_stop_reltol_or_steptol
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,9,seed200,19.4337948735589,14.6047776104856,3.85966356200903,0.969353701064306,0.8654943759502731,True,False,46.0,early_stop_reltol_or_steptol
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,10,seed249,19.4342101786089,14.6047766057884,3.85953944510946,0.969894127711058,0.865976899742016,True,False,54.0,early_stop_reltol_or_steptol
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,1,seed54,18.8900595387654,14.1732822073113,3.86124211908987,0.855535212364247,0.7638707253252205,True,False,51.0,early_stop_reltol_or_steptol
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,2,seed52,18.8981309639056,14.1725235203423,3.87683667269743,0.84877077086587,0.7578310454159554,True,False,51.0,early_stop_reltol_or_steptol
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,3,seed80,18.9116797792825,14.1871987332585,3.85826598164779,0.866215064376221,0.7734063074787687,True,False,76.0,early_stop_reltol_or_steptol
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,4,seed174,18.9119696550321,14.1725090839728,3.86590457644541,0.873555994613803,0.7799607094766097,True,False,31.0,early_stop_reltol_or_steptol
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,5,seed336,18.9136730191388,14.1725070948975,3.86534813588259,0.875817788358708,0.7819801681774178,True,False,28.0,early_stop_reltol_or_steptol
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,6,seed132,18.9139107099569,14.1725068227168,3.86527223353374,0.876131653706281,0.7822604050948937,True,False,37.0,early_stop_reltol_or_steptol
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,7,seed433,18.9139863793036,14.17249041097,3.86524296760411,0.876253000729493,0.7823687506513329,True,False,54.0,early_stop_reltol_or_steptol
