cohort	segment_id	passage_id	oxygen_pct	cumulative_end_day	cell_index	observed_kary_N
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_2N_O2_A7_seed	0	61	6	47
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_2N_O2_A7_seed	0	61	7	49
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_2N_O2_A7_seed	0	61	8	47
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_2N_O2_A7_seed	0	61	9	49
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_2N_O2_A7_seed	0	61	10	49
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_2N_O2_A7_seed	0	61	11	48
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_2N_O2_A7_seed	0	61	12	50
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_2N_O2_A7_seed	0	61	13	50
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_2N_O2_A7_seed	0	61	14	48
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_2N_O2_A7_seed	0	61	15	49
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O1_A19_seed	0	132	1	98
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O1_A19_seed	0	132	2	48
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O1_A19_seed	0	132	3	49
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O1_A19_seed	0	132	4	46
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O1_A19_seed	0	132	5	90
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O1_A19_seed	0	132	6	48
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O1_A19_seed	0	132	7	92
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O1_A19_seed	0	132	8	49
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O1_A19_seed	0	132	9	49
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O1_A19_seed	0	132	10	49
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O1_A19_seed	0	132	11	92
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O1_A19_seed	0	132	12	49
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O1_A19_seed	0	132	13	49
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O1_A19_seed	0	132	14	48
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O1_A19_seed	0	132	15	100
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O1_A19_seed	0	132	16	95
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O1_A19_seed	0	132	17	96
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O1_A19_seed	0	132	18	49
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O1_A19_seed	0	132	19	94
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O1_A19_seed	0	132	20	47
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O2_A19_seed	0	132	1	95
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O2_A19_seed	0	132	2	97
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O2_A19_seed	0	132	3	49
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O2_A19_seed	0	132	4	99
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O2_A19_seed	0	132	5	76
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O2_A19_seed	0	132	6	97
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O2_A19_seed	0	132	7	94
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O2_A19_seed	0	132	8	98
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O2_A19_seed	0	132	9	97
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O2_A19_seed	0	132	10	95
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O2_A19_seed	0	132	11	96
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O2_A19_seed	0	132	12	94
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O2_A19_seed	0	132	13	95
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O2_A19_seed	0	132	14	93
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O2_A19_seed	0	132	15	95
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O2_A19_seed	0	132	16	95
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O2_A19_seed	0	132	17	49
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O2_A19_seed	0	132	18	96
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O2_A19_seed	0	132	19	93
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O2_A19_seed	0	132	20	58
4N	20.5	SUM-159_NLS_4N_A2_seed	20.5	14	1	87
4N	20.5	SUM-159_NLS_4N_A2_seed	20.5	14	2	86
4N	20.5	SUM-159_NLS_4N_A2_seed	20.5	14	3	92
4N	20.5	SUM-159_NLS_4N_A2_seed	20.5	14	4	87
4N	20.5	SUM-159_NLS_4N_A2_seed	20.5	14	5	88
4N	20.5	SUM-159_NLS_4N_A2_seed	20.5	14	6	90
4N	20.5	SUM-159_NLS_4N_A2_seed	20.5	14	7	94
4N	20.5	SUM-159_NLS_4N_A2_seed	20.5	14	8	90
4N	20.5	SUM-159_NLS_4N_A2_seed	20.5	14	9	86
4N	20.5	SUM-159_NLS_4N_A2_seed	20.5	14	10	84
4N	20.5	SUM-159_NLS_4N_A2_seed	20.5	14	11	88
4N	20.5	SUM-159_NLS_4N_A2_seed	20.5	14	12	89
4N	20.5	SUM-159_NLS_4N_A2_seed	20.5	14	13	87
4N	20.5	SUM-159_NLS_4N_A2_seed	20.5	14	14	90
4N	20.5	SUM-159_NLS_4N_A2_seed	20.5	14	15	87
4N	20.5	SUM-159_NLS_4N_A2_seed	20.5	14	16	90
4N	20.5	SUM-159_NLS_4N_A2_seed	20.5	14	17	92
4N	20.5	SUM-159_NLS_4N_A2_seed	20.5	14	18	94
4N	20.5	SUM-159_NLS_4N_A2_seed	20.5	14	19	89
4N	20.5	SUM-159_NLS_4N_A2_seed	20.5	14	20	88
4N	20.5_20.5_20.5_20.5	SUM-159_NLS_4N_A4M_seed	20.5	33	1	85
4N	20.5_20.5_20.5_20.5	SUM-159_NLS_4N_A4M_seed	20.5	33	2	88
4N	20.5_20.5_20.5_20.5	SUM-159_NLS_4N_A4M_seed	20.5	33	3	82
4N	20.5_20.5_20.5_20.5	SUM-159_NLS_4N_A4M_seed	20.5	33	4	87
4N	20.5_20.5_20.5_20.5	SUM-159_NLS_4N_A4M_seed	20.5	33	5	82
4N	20.5_20.5_20.5_20.5	SUM-159_NLS_4N_A4M_seed	20.5	33	6	86
4N	20.5_20.5_20.5_20.5	SUM-159_NLS_4N_A4M_seed	20.5	33	7	87
4N	20.5_20.5_20.5_20.5	SUM-159_NLS_4N_A4M_seed	20.5	33	8	89
4N	20.5_20.5_20.5_20.5	SUM-159_NLS_4N_A4M_seed	20.5	33	9	78
4N	20.5_20.5_20.5_20.5	SUM-159_NLS_4N_A4M_seed	20.5	33	10	86
4N	20.5_20.5_20.5_20.5	SUM-159_NLS_4N_A4M_seed	20.5	33	11	86
4N	20.5_20.5_20.5_20.5	SUM-159_NLS_4N_A4M_seed	20.5	33	12	91
4N	20.5_20.5_20.5_20.5	SUM-159_NLS_4N_A4M_seed	20.5	33	13	85
4N	20.5_20.5_20.5_20.5	SUM-159_NLS_4N_A4M_seed	20.5	33	14	97
4N	20.5_20.5_20.5_20.5	SUM-159_NLS_4N_A4M_seed	20.5	33	15	85
4N	20.5_20.5_20.5_20.5	SUM-159_NLS_4N_A4M_seed	20.5	33	16	84
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_4N_O1_A7_seed	0	61	1	86
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_4N_O1_A7_seed	0	61	2	76
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_4N_O1_A7_seed	0	61	3	85
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_4N_O1_A7_seed	0	61	4	83
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_4N_O1_A7_seed	0	61	5	81
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_4N_O1_A7_seed	0	61	6	82
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_4N_O1_A7_seed	0	61	7	78
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_4N_O1_A7_seed	0	61	8	79
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_4N_O1_A7_seed	0	61	9	86
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_4N_O1_A7_seed	0	61	10	74
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_4N_O1_A7_seed	0	61	11	81
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_4N_O1_A7_seed	0	61	12	84
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_4N_O2_A7_seed	0	61	1	86
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_4N_O2_A7_seed	0	61	2	78
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_4N_O2_A7_seed	0	61	3	83
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_4N_O2_A7_seed	0	61	4	88
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_4N_O2_A7_seed	0	61	5	79
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_4N_O2_A7_seed	0	61	6	88
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_4N_O2_A7_seed	0	61	7	89
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_4N_O2_A7_seed	0	61	8	87
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_4N_O2_A7_seed	0	61	9	85
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_4N_O2_A7_seed	0	61	10	86
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_4N_O2_A7_seed	0	61	11	89
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_4N_O2_A7_seed	0	61	12	90
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_4N_O2_A7_seed	0	61	13	83
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_4N_O2_A7_seed	0	61	14	82
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_4N_O2_A7_seed	0	61	15	84
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_4N_O2_A7_seed	0	61	16	85
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_4N_O2_A7_seed	0	61	17	86
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_4N_O2_A7_seed	0	61	18	85
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_4N_O1_A17_seed	0	127	1	78
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_4N_O1_A17_seed	0	127	2	82
