cohort	lineage_terminal_key	lineage_label	lineage_passage_index	segment_id	parent_segment_id	depth	oxygen_pct	cumulative_start_day	cumulative_end_day	duration_days	duration_source	data_ids	n_data_ids
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	deprived	8	20.5_20.5_2_1_0.5_0.3_0.2_0.1	20.5_20.5_2_1_0.5_0.3_0.2	7	0.1	51	56	5	observed_median	SUM-159_NLS_4N_O1_A6_seed;SUM-159_NLS_4N_O2_A6_seed	2
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	deprived	9	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1	8	0	56	61	5	observed_median	SUM-159_NLS_4N_O1_A7_seed;SUM-159_NLS_4N_O2_A7_seed	2
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	deprived	10	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	9	0	61	65	4	observed_median	SUM-159_NLS_4N_O1_A8_seed;SUM-159_NLS_4N_O2_A8_seed	2
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	deprived	11	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0	10	0	65	70	5	observed_median	SUM-159_NLS_4N_O1_A9_seed;SUM-159_NLS_4N_O2_A9_seed	2
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	deprived	12	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0	11	0	70	75	5	observed_median	SUM-159_NLS_4N_O1_A10_seed;SUM-159_NLS_4N_O2_A10_seed	2
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	deprived	13	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0	12	0	75	80	5	observed_median	SUM-159_NLS_4N_O1_A11_seed;SUM-159_NLS_4N_O2_A11_seed	2
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	deprived	14	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0	13	0	80	85	5	observed_median	SUM-159_NLS_4N_O1_A12_seed;SUM-159_NLS_4N_O2_A12_seed	2
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	deprived	15	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0	14	0	85	87	2	observed_median	SUM-159_NLS_4N_O1_A13_seed;SUM-159_NLS_4N_O2_A13_seed	2
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	deprived	16	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0	15	0	87	97	10	observed_median	SUM-159_NLS_4N_O1_A14_seed;SUM-159_NLS_4N_O2_A14_seed	2
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	deprived	17	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0	16	0	97	108	11	observed_median	SUM-159_NLS_4N_O1_A15_seed;SUM-159_NLS_4N_O2_A15_seed	2
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	deprived	18	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0	17	0	108	122	14	observed_median	SUM-159_NLS_4N_O1_A16_seed;SUM-159_NLS_4N_O2_A16_seed	2
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	deprived	19	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0	18	0	122	127	5	observed_median	SUM-159_NLS_4N_O1_A17_seed;SUM-159_NLS_4N_O2_A17_seed	2
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	deprived	20	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0	19	0	127	132	5	observed_median	SUM-159_NLS_4N_O1_A18_seed;SUM-159_NLS_4N_O2_A18_seed	2
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	deprived	21	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0	20	0	132	138	6	observed_median	SUM-159_NLS_4N_O1_A19_seed;SUM-159_NLS_4N_O2_A19_seed	2
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	deprived	22	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	21	0	138	141	3	observed_median	SUM-159_NLS_4N_O1_A20_seed;SUM-159_NLS_4N_O2_A20_seed	2
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	deprived	23	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	22	0	141	146	5	observed_median	SUM-159_NLS_4N_O1_A21_seed;SUM-159_NLS_4N_O2_A21_seed	2
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	deprived	24	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	23	0	146	151	5	observed_median	SUM-159_NLS_4N_O1_A22_seed;SUM-159_NLS_4N_O2_A22_seed	2
